# Halo 937
# r (kpc)	rho (Gev/cm^3)	sigma_tot (km/s)	sigma_rad (km/s)	sigma_tan (km/s)
1.06166202e-02	0.00000000e+00	nan	nan	nan
1.19259046e-02	0.00000000e+00	nan	nan	nan
1.33966552e-02	0.00000000e+00	nan	nan	nan
1.50487848e-02	0.00000000e+00	nan	nan	nan
1.69046616e-02	0.00000000e+00	nan	nan	nan
1.89894127e-02	0.00000000e+00	nan	nan	nan
2.13312636e-02	0.00000000e+00	nan	nan	nan
2.39619211e-02	0.00000000e+00	nan	nan	nan
2.69170018e-02	0.00000000e+00	nan	nan	nan
3.02365150e-02	0.00000000e+00	nan	nan	nan
3.39654040e-02	0.00000000e+00	nan	nan	nan
3.81541546e-02	0.00000000e+00	nan	nan	nan
4.28594788e-02	0.00000000e+00	nan	nan	nan
4.81450826e-02	0.00000000e+00	nan	nan	nan
5.40825284e-02	0.00000000e+00	nan	nan	nan
6.07522039e-02	0.00000000e+00	nan	nan	nan
6.82444107e-02	0.00000000e+00	nan	nan	nan
7.66605866e-02	2.32503709e+01	0.00000000e+00	0.00000000e+00	0.00000000e+00
8.61146793e-02	0.00000000e+00	nan	nan	nan
9.67346889e-02	0.00000000e+00	nan	nan	nan
1.08664401e-01	1.63273020e+01	4.43961311e+00	1.04734838e+01	5.56099760e-01
1.22065333e-01	5.75929440e+00	0.00000000e+00	9.53674316e-07	nan
1.37118922e-01	1.62522734e+01	2.50454848e+01	1.95791581e+01	2.07609325e+01
1.54028981e-01	1.71984864e+01	7.90537826e+01	3.04947758e+01	8.41702671e+01
1.73024456e-01	2.22441856e+01	7.04033417e+01	5.03293323e+01	5.84529207e+01
1.94362529e-01	1.28395908e+01	2.49305421e+01	2.82067633e+01	1.49595096e+01
2.18332100e-01	1.61032489e+01	5.45604384e+01	2.44485683e+01	5.57096490e+01
2.45257696e-01	1.13605237e+01	7.21541609e+01	3.13713091e+01	7.08015396e+01
2.75503864e-01	1.45265076e+01	5.18826400e+01	4.38472649e+01	4.16914562e+01
3.09480111e-01	1.16617038e+01	8.28189543e+01	4.68368432e+01	7.98473421e+01
3.47646447e-01	1.24653053e+01	5.59905987e+01	4.16014810e+01	4.93704340e+01
3.90519609e-01	1.05528318e+01	6.15525032e+01	4.18357318e+01	5.85650820e+01
4.38680062e-01	1.19117027e+01	6.64910349e+01	5.46564436e+01	5.29865677e+01
4.92779856e-01	8.40347078e+00	7.57617810e+01	5.31342230e+01	7.00153458e+01
